Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 11/7/2023 4:28:38 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age00,[0],42.00000000,89.36170213,,2100.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age01_04,[1-4],5.00000000,50.00000000,,65.78947368,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age00,[0],24.00000000,72.72727273,,1253.26370760,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age01_04,[1-4],18.00000000,85.71428571,,529.41176471,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age00,[0],47.00000000,95.91836735,,5222.22222220,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age01_04,[1-4],2.00000000,100.00000000,,33.39455669,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age00,[0],6.00000000,60.00000000,,644.46831364,
EU,Europe,ALB,Albania,2005,Female,Age01_04,[1-4],20.00000000,22.98850575,,22.40896359,
EU,Europe,ALB,Albania,2005,Female,Age00,[0],53.00000000,37.58865248,,276.30069857,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age01_04,[1-4],3.00000000,60.00000000,,82.16926869,
EU,Europe,ALB,Albania,1995,Female,Age01_04,[1-4],158.00000000,48.61538462,,117.82252051,
EU,Europe,ALB,Albania,1995,Female,Age00,[0],427.00000000,58.33333333,,1286.14457830,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age00,[0],20.00000000,83.33333333,,2277.90432800,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age01_04,[1-4],2.00000000,50.00000000,,56.02240896,
EU,Europe,ALB,Albania,1992,Female,Age01_04,[1-4],198.00000000,47.82608696,,138.26815642,
EU,Europe,ALB,Albania,1992,Female,Age00,[0],631.00000000,56.38963360,,1839.65014580,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age00,[0],10.00000000,90.90909091,,1560.06240250,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Male,Age00,[0],10.00000000,90.90909091,,1443.00144300,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age00,[0],4.00000000,66.66666667,,591.71597633,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age00,[0],7.00000000,50.00000000,,496.10205528,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Male,Age00,[0],4.00000000,50.00000000,,549.45054945,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,Female,Age01_04,[1-4],327.00000000,53.96039604,,239.03508772,
EU,Europe,ALB,Albania,1987,Female,Age00,[0],646.00000000,57.11759505,,1686.68407310,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Female,Age01_04,[1-4],1.00000000,100.00000000,,33.33333333,
EU,Europe,ALB,Albania,2007,Male,Age00,[0],51.00000000,38.63636364,,265.84653878,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age00,[0],4.00000000,66.66666667,,279.13468248,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age01_04,[1-4],2.00000000,66.66666667,,52.81225244,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age00,[0],34.00000000,91.89189189,,3841.80790960,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age00,[0],28.00000000,93.33333333,,1487.77895860,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age00,[0],2.00000000,66.66666667,,291.97080292,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age00,[0],2.00000000,100.00000000,,147.49262537,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Male,Age00,[0],1.00000000,100.00000000,,144.92753623,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age01_04,[1-4],10.00000000,100.00000000,,285.71428571,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,Female,Age00,[0],1.00000000,100.00000000,,150.15015015,
EU,Europe,ALB,Albania,1997,Male,Age01_04,[1-4],97.00000000,42.73127753,,65.18817204,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Male,Age00,[0],8.00000000,80.00000000,,1186.94362020,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age00,[0],24.00000000,70.58823529,,1248.04992200,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age00,[0],20.00000000,86.95652174,,2000.00000000,
EU,Europe,ALB,Albania,2009,All,Age01_04,[1-4],15.00000000,16.66666667,,10.24478199,
EU,Europe,ALB,Albania,2009,All,Age00,[0],80.00000000,42.78074866,,226.17398434,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age00,[0],10.00000000,66.66666667,,1166.86114350,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age00,[0],15.00000000,93.75000000,,1569.03765690,
EU,Europe,ALB,Albania,2004,All,Age01_04,[1-4],49.00000000,20.67510549,,24.06384285,
EU,Europe,ALB,Albania,2004,All,Age00,[0],143.00000000,42.68656716,,293.89399264,
EU,Europe,ALB,Albania,1998,Female,Age01_04,[1-4],82.00000000,41.62436548,,59.63636364,
EU,Europe,ALB,Albania,1998,Female,Age00,[0],232.00000000,57.56823821,,775.91973244,
EU,Europe,ALB,Albania,1998,Male,Age01_04,[1-4],94.00000000,39.66244726,,65.55090656,
EU,Europe,ALB,Albania,1998,Male,Age00,[0],279.00000000,58.00415800,,902.91262136,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age01_04,[1-4],2.00000000,100.00000000,,53.57621216,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age00,[0],5.00000000,100.00000000,,554.32372506,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age00,[0],1.00000000,33.33333333,,153.84615385,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age00,[0],44.00000000,84.61538462,,2525.83237660,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age01_04,[1-4],31.00000000,86.11111111,,418.91891892,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age00,[0],85.00000000,95.50561798,,4250.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age01_04,[1-4],34.00000000,91.89189189,,918.91891892,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age00,[0],46.00000000,92.00000000,,4600.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age01_04,[1-4],37.00000000,90.24390244,,1000.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age00,[0],45.00000000,90.00000000,,4500.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age01_04,[1-4],6.00000000,46.15384615,,86.16975442,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Male,Age01_04,[1-4],2.00000000,66.66666667,,59.88023952,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age01_04,[1-4],1.00000000,50.00000000,,30.47851265,
EU,Europe,ALB,Albania,2006,Male,Age01_04,[1-4],12.00000000,13.48314607,,13.14074837,
EU,Europe,ALB,Albania,2006,Male,Age00,[0],70.00000000,47.94520548,,343.87895461,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Male,Age00,[0],3.00000000,60.00000000,,411.52263374,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Male,Age01_04,[1-4],3.00000000,37.50000000,,104.23905490,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Female,Age01_04,[1-4],177.00000000,46.09375000,,128.91478514,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,Female,Age00,[0],12.00000000,80.00000000,,1490.68322980,
EU,Europe,ALB,Albania,1993,All,Age00,[0],1346.00000000,57.54595981,,2014.97005990,
EU,Europe,ALB,Albania,1989,Male,Age01_04,[1-4],297.00000000,49.58263773,,192.48217758,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,Male,Age00,[0],2.00000000,100.00000000,,301.65912519,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age00,[0],18.00000000,78.26086957,,1350.33758440,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,Female,Age00,[0],7.00000000,87.50000000,,1076.92307690,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age00,[0],35.00000000,87.50000000,,1961.88340810,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
CSA,Central and South America,ARG,Argentina,1966,Male,Age01_04,[1-4],839.00000000,49.23708920,,88.50210971,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,Female,Age01_04,[1-4],1.00000000,50.00000000,,35.31073446,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,Male,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
CSA,Central and South America,ARG,Argentina,1969,Female,Age00,[0],9381.00000000,69.23758211,,3925.10460250,
EU,Europe,ALB,Albania,2000,Male,Age01_04,[1-4],72.00000000,37.50000000,,52.02312139,
EU,Europe,ALB,Albania,1999,Female,Age00,[0],197.00000000,71.37681159,,654.48504983,
EU,Europe,ALB,Albania,1997,Female,Age01_04,[1-4],90.00000000,49.18032787,,65.83760059,
EU,Europe,ALB,Albania,1996,Female,Age01_04,[1-4],123.00000000,45.22058824,,91.92825112,
EU,Europe,ALB,Albania,1996,Male,Age00,[0],419.00000000,57.79310345,,1204.02298850,
EU,Europe,ALB,Albania,1995,All,Age00,[0],958.00000000,56.98988697,,1362.73115220,
EU,Europe,ALB,Albania,1992,All,Age00,[0],1442.00000000,56.54901961,,1951.28552100,
EU,Europe,ALB,Albania,1988,All,Age00,[0],1259.00000000,55.53595060,,1531.63017030,
EU,Europe,ALB,Albania,1994,Male,Age01_04,[1-4],205.00000000,47.34411085,,141.37931034,
EU,Europe,ALB,Albania,2009,Male,Age01_04,[1-4],7.00000000,13.20754717,,9.08135598,
EU,Europe,ALB,Albania,2010,All,Age01_04,[1-4],11.00000000,15.94202899,,7.77599480,
EU,Europe,ALB,Albania,2010,Male,Age00,[0],33.00000000,36.26373626,,175.30811730,
EU,Europe,ALB,Albania,2010,Female,Age01_04,[1-4],3.00000000,8.82352941,,4.47654292,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Male,Age01_04,[1-4],1.00000000,20.00000000,,28.14522938,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age01_04,[1-4],2.00000000,66.66666667,,58.73715125,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age00,[0],38.00000000,84.44444444,,2283.65384620,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age00,[0],25.00000000,83.33333333,,1528.11735940,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age00,[0],8.00000000,72.72727273,,536.91275168,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Male,Age00,[0],8.00000000,88.88888889,,1056.80317040,
